#Frame             Rg      Rg[Max]
       1       6.9493      11.7240
       2       6.9607      11.8310
       3       7.0879      12.6206
       4       6.9557      12.5453
       5       6.8636      12.3475
       6       6.9230      11.3793
       7       6.9419      11.6870
       8       6.8093      11.7562
       9       6.7852      11.1035
      10       6.7479      11.3657
      11       6.8856      11.5199
      12       6.7951      11.2388
      13       6.8272      11.5083
      14       6.8984      11.5980
      15       6.8107      11.8071
      16       6.7785      11.3665
      17       6.8441      11.6877
      18       6.9025      11.9428
      19       6.9458      11.8520
      20       7.0849      12.3016
      21       7.0258      11.6688
      22       7.0197      11.7662
      23       6.9082      11.3835
      24       6.9163      11.7591
      25       6.8189      11.2393
      26       6.9347      11.4977
      27       6.8865      11.4411
      28       6.8216      11.1401
      29       6.9251      11.5078
      30       6.8805      11.3549
      31       6.9034      11.5839
      32       7.0244      11.2561
      33       6.8937      11.2886
      34       6.9889      11.8035
      35       7.0623      11.6901
      36       6.9933      11.3638
      37       7.0054      11.9903
      38       7.0240      11.6236
      39       6.9063      11.3231
      40       6.9537      11.5520
      41       6.8843      11.4666
      42       6.9601      11.7229
      43       6.7913      11.3613
      44       6.9028      11.3064
      45       6.7192      11.2229
      46       6.8673      11.6504
      47       6.7569      10.9139
      48       6.8204      11.3122
      49       6.8940      12.3118
      50       7.0199      11.9538
      51       6.9969      11.6397
      52       6.9262      11.5338
      53       6.9327      11.2713
      54       6.8450      11.8604
      55       6.7939      11.4535
      56       6.9162      11.5642
      57       6.9137      11.6546
      58       6.9686      11.5976
      59       6.9448      11.6643
      60       6.9275      11.6610
      61       7.0142      11.4580
      62       6.9466      11.3655
      63       7.0146      11.6167
      64       7.0043      11.8114
      65       7.0484      11.9789
      66       6.9002      12.0567
      67       6.8509      11.1238
      68       6.9788      11.4877
      69       6.8272      11.3331
      70       7.0742      12.0908
      71       7.0263      11.9784
      72       6.9533      11.6655
      73       7.0289      11.6695
      74       6.9148      11.6552
      75       6.9628      11.5148
      76       7.0198      11.8116
      77       7.1095      11.9367
      78       6.9529      11.5538
      79       7.0694      12.0105
      80       6.8411      11.3471
      81       6.9994      12.6083
      82       7.1299      12.5921
      83       6.9205      12.3880
      84       7.0992      12.5627
      85       7.1558      12.8263
      86       7.0796      12.2096
      87       6.9104      12.1883
      88       6.9593      12.3876
      89       6.9305      12.1322
      90       6.8885      11.8988
      91       6.9170      11.6312
      92       7.0582      11.7481
      93       6.9758      11.8826
      94       6.8425      11.4060
      95       6.9153      11.2528
      96       6.9837      12.0171
      97       6.9128      11.7911
      98       6.9006      11.3014
      99       6.9335      11.6463
     100       6.8600      11.4205
     101       6.9960      12.1573
     102       6.9232      11.6948
     103       7.2192      12.1436
     104       7.0016      11.8201
     105       6.9284      11.4878
     106       6.9138      11.4530
     107       6.7998      11.0672
     108       7.0063      11.5340
     109       6.8902      11.3476
     110       6.9712      11.4870
     111       6.8690      11.3885
     112       6.8725      11.5751
     113       6.8903      11.8089
     114       6.9697      11.3626
     115       6.8470      11.7047
     116       6.9206      11.5288
     117       6.8748      11.4116
     118       6.8961      11.4257
     119       6.7597      11.2579
     120       6.9109      11.7752
     121       6.8547      11.4626
     122       6.9952      12.2807
     123       6.8432      11.4347
     124       6.8835      11.3353
     125       7.0101      11.6768
     126       6.8440      11.2795
     127       6.8589      11.3438
     128       7.0147      11.4449
     129       6.9852      11.6175
     130       6.8722      11.3154
     131       7.0015      11.6642
     132       6.9592      11.5241
     133       6.7973      11.2910
     134       6.9160      11.3734
     135       7.0047      12.2140
     136       6.9408      11.6979
     137       6.8328      11.3846
     138       6.9055      11.7767
     139       6.9361      11.7032
     140       6.7624      10.9191
     141       6.8699      11.2950
     142       6.8329      11.0472
     143       6.7947      11.7974
     144       6.8363      11.2980
     145       6.9286      12.1709
     146       6.8907      11.9002
     147       6.9899      11.6181
     148       6.9278      11.5573
     149       6.8767      11.8097
     150       7.0318      12.2881
     151       6.8676      11.8424
     152       7.0145      11.6861
     153       6.8315      11.6088
     154       6.9498      11.7917
     155       6.9491      11.3575
     156       6.9395      11.9227
     157       6.9755      11.6905
     158       6.9978      11.6804
     159       6.9757      11.6371
     160       6.9078      12.0071
     161       6.8592      11.6872
     162       6.8958      11.2422
     163       6.9282      11.1883
     164       6.8249      11.4394
     165       6.8363      11.8075
     166       6.9278      11.3840
     167       6.8493      11.0762
     168       6.8608      11.3202
     169       6.8497      11.4328
     170       6.8278      11.7354
     171       6.9046      11.7846
     172       6.8808      11.7569
     173       6.8596      11.5908
