# T(K)  P_fold_RMSD<2.5  P_fold_Q>0.7  <Epot>(kcal/mol)  std_Epot  Cv(kcal/mol/K)  <Rg>(Å)
 270.00  1.0000  1.0000     -27607.93     71.87   35.6615  6.881
 284.76  1.0000  1.0000     -27098.02     73.39   33.4257  6.878
 300.33  1.0000  1.0000     -26594.92     75.32   31.6517  6.896
 316.75  1.0000  1.0000     -26089.50     77.28   29.9567  6.898
 334.07  0.8973  1.0000     -25588.11     79.18   28.2740  6.921
 352.34  0.9971  1.0000     -25090.61     81.02   26.6106  6.904
 371.60  0.9919  1.0000     -24430.65    247.55  223.3500  6.914
 391.92  0.9408  1.0000     -23896.79    512.23  859.6684  6.990
 413.35  0.0040  0.1878     -23300.01    667.80  1313.5991  8.948
 435.95  0.7123  0.8300     -23128.90    912.20  2203.4938  7.428
 459.79  0.0346  0.2090     -22275.52    428.83  437.7885  9.103
 484.93  0.0014  0.1418     -21269.04    658.50  928.0256  9.221
 511.44  0.0002  0.0686     -20618.73    534.37  549.4200  9.283
 539.40  0.0001  0.0731     -20875.18    600.46  623.6603  9.115
 568.89  0.0002  0.0550     -20991.14    679.39  717.7580  9.430
 600.00  0.0352  0.1721     -22555.47   1004.13  1409.5517  8.873
