# r(A)  PMF(kcal/mol)  err(kcal/mol)
2.8500 5.4167 0.7244
2.9500 5.4167 0.7244
3.0500 5.4167 0.7244
3.1500 5.4167 0.7244
3.2500 1.1601 1.9492
3.3500 -0.8569 0.6577
3.4500 -2.5270 0.6132
3.5500 -3.8538 0.5889
3.6500 -4.6301 0.5751
3.7500 -4.9965 0.5765
3.8500 -4.9334 0.5640
3.9500 -4.3332 0.5800
4.0500 -3.7332 0.5651
4.1500 -3.0281 0.6487
4.2500 -2.7306 0.5543
4.3500 -2.7173 0.6029
4.4500 -2.3015 0.6346
4.5500 -2.0883 0.6102
4.6500 -2.0692 0.6104
4.7500 -2.1476 0.6246
4.8500 -1.9710 0.6090
4.9500 -2.0917 0.5884
5.0500 -2.2210 0.5825
5.1500 -2.3713 0.5578
5.2500 -2.2387 0.5511
5.3500 -2.3773 0.5405
5.4500 -2.0620 0.5377
5.5500 -1.7744 0.5384
5.6500 -1.4317 0.5311
5.7500 -1.5595 0.5678
5.8500 -1.4865 1.9387
5.9500 -1.5717 1.8460
6.0500 -1.0220 3.3386
6.1500 -1.3277 3.5221
6.2500 -2.1399 1.2757
6.3500 -2.6790 0.4936
6.4500 -2.1965 1.5046
6.5500 -2.2693 2.3142
6.6500 -2.4337 3.1834
6.7500 -2.7148 2.5912
6.8500 -2.8668 2.5911
6.9500 -3.4376 0.5113
7.0500 -4.0505 0.3550
7.1500 -4.7623 0.3638
7.2500 -4.7937 0.4328
7.3500 -5.0845 0.3508
7.4500 -5.0202 0.4273
7.5500 -4.8175 0.4449
7.6500 -4.2286 2.2870
7.7500 -4.0282 2.2449
7.8500 -3.6585 2.0131
7.9500 -2.4485 4.1119
8.0500 -3.1928 0.7016
8.1500 -2.6424 0.5818
8.2500 -2.8667 0.5993
8.3500 -2.9644 0.6049
8.4500 -3.0165 0.6082
8.5500 -2.8544 0.5997
8.6500 -2.7190 0.6198
8.7500 -2.6837 0.6294
8.8500 -2.5315 0.6821
8.9500 -2.3509 0.6572
9.0500 -1.8800 0.6987
9.1500 -2.0190 0.6697
9.2500 -2.0782 0.6616
9.3500 -1.6737 0.6475
9.4500 -1.7489 0.6408
9.5500 -1.4177 0.6607
9.6500 -0.8368 0.6972
9.7500 -0.7972 0.6656
9.8500 -0.9275 0.6994
9.9500 -0.3468 0.6861
10.0500 -0.1678 0.7291
10.1500 -0.0351 0.8066
10.2500 0.3712 0.7952
10.3500 0.5065 0.7776
10.4500 0.6277 0.7359
10.5500 0.6270 0.7264
10.6500 0.7741 0.7601
10.7500 0.7062 0.7853
10.8500 0.9566 0.7715
10.9500 0.8901 0.7728
11.0500 0.9368 0.7720
11.1500 1.0857 0.7728
11.2500 1.1924 0.8032
11.3500 1.0781 0.8159
11.4500 1.2288 0.7950
11.5500 1.1269 0.8265
11.6500 1.2587 0.8214
11.7500 1.0783 0.8274
11.8500 1.2644 0.8440
11.9500 1.2986 0.8461
12.0500 1.1236 0.8594
12.1500 1.1912 0.8455
12.2500 1.0773 0.8540
12.3500 1.1565 0.8543
12.4500 1.0508 0.8445
12.5500 0.8625 0.8459
12.6500 0.9784 0.8435
12.7500 0.8262 0.8547
12.8500 0.8631 0.8538
12.9500 0.8872 0.8559
13.0500 0.8062 0.8524
13.1500 0.8864 0.8503
13.2500 0.7829 0.8510
13.3500 0.7255 0.8491
13.4500 0.6816 0.8680
13.5500 0.6224 0.8694
13.6500 0.5880 0.8600
13.7500 0.5624 0.8733
13.8500 0.5158 0.8664
13.9500 0.5275 0.8775
14.0500 0.3778 0.8666
14.1500 0.3503 0.8901
14.2500 0.3745 0.8879
14.3500 0.3000 0.8798
14.4500 0.2805 0.8869
14.5500 0.2425 0.8854
14.6500 0.2863 0.8829
14.7500 0.2384 0.8766
14.8500 0.2568 0.8854
14.9500 0.4788 0.9165
15.0500 -0.2041 0.9440
15.1500 -0.4247 0.9368
15.2500 -0.3086 0.9363
15.3500 -0.7676 0.9232
15.4500 -0.5529 0.9153
15.5500 -0.7510 0.9064
15.6500 -0.7804 0.9156
15.7500 -0.8001 0.9216
15.8500 -0.7540 0.9212
15.9500 -0.7041 0.9191
16.0500 -0.7839 0.9255
16.1500 -0.7573 0.9349
16.2500 -0.6252 0.9346
16.3500 -0.7397 0.9284
16.4500 -0.6181 0.9185
16.5500 -0.4700 0.9291
16.6500 -0.3067 0.9529
16.7500 -0.1578 0.9416
16.8500 0.4741 0.9357
16.9500 0.1475 0.9448
17.0500 -0.0094 0.9565
17.1500 -0.2348 0.9551
17.2500 -0.1620 0.9848
17.3500 -0.1769 0.9574
17.4500 5.4167 0.7244
